"person_id","name","ocupation","number_of_movies","total_box_office"
nm0000201,Michelle Pfeiffer,actress,16,1361728128
nm0000202,Ryan Phillippe,actor,4,258602272
nm0000203,River Phoenix,actor,5,77422440
nm0000204,Natalie Portman,actress,9,917634688
nm0000205,Parker Posey,actress,2,159275024
nm0000206,Keanu Reeves,actor,12,1448227584
nm0000207,Christina Ricci,actress,7,349976928
nm0000208,Molly Ringwald,actress,5,97657000
nm0000209,Tim Robbins,actor,10,584261056
nm0000209,Tim Robbins,director,2,42267040
nm0000210,Julia Roberts,actress,17,2442633984
nm0000211,Mimi Rogers,actress,6,66952344
nm0000212,Meg Ryan,actress,10,445399872
nm0000213,Winona Ryder,actress,6,408173856
nm0000214,Mia Sara,actress,1,70712680
nm0000215,Susan Sarandon,actress,12,926620032
nm0000216,Arnold Schwarzenegger,actor,9,1009394432
nm0000217,Martin Scorsese,director,8,1125666816
nm0000217,Martin Scorsese,producer,2,42253344
nm0000218,Kristin Scott Thomas,actress,8,371969664
nm0000219,Steven Seagal,actor,2,38102912
nm0000220,Joan Severance,actress,2,63002640
nm0000221,Charlie Sheen,actor,10,373741344
nm0000222,Brooke Shields,actress,1,36288132
nm0000223,Elisabeth Shue,actress,6,273816896
nm0000224,Alicia Silverstone,actress,3,108973800
nm0000225,Christian Slater,actor,4,48461536
nm0000226,Will Smith,actor,16,4998137344
nm0000226,Will Smith,producer,2,399078464
nm0000227,Mira Sorvino,actress,2,38859440
nm0000228,Kevin Spacey,actor,7,1116417664
nm0000229,Steven Spielberg,director,10,2178702592
nm0000229,Steven Spielberg,producer,2,349610432
nm0000230,Sylvester Stallone,actor,15,1401218432
nm0000230,Sylvester Stallone,producer,1,25775372
nm0000231,Oliver Stone,director,12,851705984
nm0000231,Oliver Stone,producer,1,8217997.0
nm0000232,Sharon Stone,actress,7,305047296
nm0000233,Quentin Tarantino,actor,1,1176982.0
nm0000233,Quentin Tarantino,director,4,610807744
nm0000234,Charlize Theron,actress,14,1673974656
nm0000235,Uma Thurman,actress,6,264103936
