within_year_rank,title,release_year,worldwide_box_office,domestic_box_office,foreign_box_office
1,Star Wars: Episode IV - A New Hope,1977,307263857,307263857,
2,Smokey and the Bandit,1977,126737428,126737428,
3,Close Encounters of the Third Kind,1977,116395460,116395460,
4,Saturday Night Fever,1977,94213184,94213184,
5,A Bridge Too Far,1977,50750000,50750000,
6,The Deep,1977,47346365,47346365,
7,The Spy Who Loved Me,1977,46838673,46838673,
8,"Oh, God!",1977,41687243,41687243,
9,Annie Hall,1977,38251425,38251425,
10,Semi-Tough,1977,37187139,37187139,
11,Pete's Dragon,1977,35488000,35488000,
12,Heroes,1977,33500000,33500000,
13,High Anxiety,1977,31063038,31063038,
14,Exorcist II: The Heretic,1977,30749142,30749142,
15,The Rescuers,1977,29000000,29000000,
16,Slap Shot,1977,28000000,28000000,
17,Herbie Goes to Monte Carlo,1977,28000000,28000000,
18,The Gauntlet,1977,26414658,26414658,
19,The Turning Point,1977,25933445,25933445,
20,Freaky Friday,1977,25642000,25642000,
21,The Other Side of Midnight,1977,24652021,24652021,
22,Looking for Mr. Goodbar,1977,22512655,22512655,
23,Julia,1977,20714400,20714400,
24,The Bad News Bears in Breaking Training,1977,19104350,19104350,
25,For the Love of Benji,1977,17732000,17732000,
26,"New York, New York",1977,16400000,16400000,
27,Black Sunday,1977,15769322,15769322,
28,Orca,1977,14717854,14717854,
29,Bobby Deerfield,1977,9300000,9300000,
30,Islands in the Stream,1977,5596173,5596173,
31,"Race for Your Life, Charlie Brown",1977,3223888,3223888,
32,March or Die,1977,1000000,1000000,
33,Joseph Andrews,1977,839865,839865,
34,Citizens Band,1977,815530,815530,
35,Fraternity Row,1977,290674,290674,
1,Grease,1978,159978870,159978870,
2,Superman,1978,134218018,134218018,
3,National Lampoon's Animal House,1978,120091123,120091123,
4,Every Which Way but Loose,1978,85196485,85196485,
5,Heaven Can Wait,1978,81640278,81640278,
6,Hooper,1978,78000000,78000000,
7,Jaws 2,1978,77737272,77737272,
8,Revenge of the Pink Panther,1978,49579269,49579269,
9,The Deer Hunter,1978,48991826,48979328,12498
10,Halloween,1978,47000000,47000000,
11,Foul Play,1978,44999621,44999621,
12,The End,1978,44917151,44917151,
13,Up in Smoke,1978,44364244,44364244,
14,Midnight Express,1978,35000000,35000000,
15,Coming Home,1978,32653905,32653905,
16,The Lord of the Rings,1978,30471420,30471420,
17,House Calls,1978,28460702,28460702,
18,Damien: Omen II,1978,26518355,26518355,
19,Invasion of the Body Snatchers,1978,24946533,24946533,
20,Convoy,1978,22765081,22765081,
21,The Wiz,1978,21049053,21049053,
22,F.I.S.T.,1978,20388920,20388920,
23,Sgt. Pepper's Lonely Hearts Club Band,1978,20378470,20378470,
24,Eyes of Laura Mars,1978,20000000,20000000,
25,The One and Only,1978,16928137,16928137,
26,Return from Witch Mountain,1978,16393000,16393000,
27,Corvette Summer,1978,15514367,15514367,
28,The Greek Tycoon,1978,14672713,14672713,
29,Death on the Nile,1978,14560084,14560084,
30,The Buddy Holly Story,1978,14363400,14363400,
31,The Big Fix,1978,13062708,13062708,
32,The Other Side of the Mountain: Part II,1978,11565678,11565678,
33,Moment by Moment,1978,10963824,10963824,
34,Interiors,1978,10432366,10432366,
35,Straight Time,1978,9900000,9900000,
36,Comes a Horseman,1978,9585769,9585769,
37,American Hot Wax,1978,7932571,7932571,
38,The Brink's Job,1978,7909950,7909950,
39,Goin' South,1978,7435671,7435671,
40,King of the Gypsies,1978,7325177,7325177,
41,Force 10 from Navarone,1978,7230000,7230000,
42,Paradise Alley,1978,7185518,7185518,
43,The Bad News Bears Go to Japan,1978,7092495,7092495,
44,International Velvet,1978,7009238,7009238,
45,Blue Collar,1978,6521083,6521083,
46,Pretty Baby,1978,5786368,5786368,
47,Gray Lady Down,1978,5438927,5438927,
48,Brass Target,1978,5011158,5011158,
49,Caravans,1978,3930501,3930501,
50,Days of Heaven,1978,3446749,3446749,
51,Our Winning Season,1978,1997705,1997705,
52,I Wanna Hold Your Hand,1978,1944682,1944682,
53,Skateboard,1978,1318823,1318823,
54,Uncle Joe Shannon,1978,494797,494797,
55,Nunzio,1978,52195,52195,
1,Kramer vs. Kramer,1979,106260000,106260000,
2,The Amityville Horror,1979,86432000,86432000,
3,Rocky II,1979,85182160,85182160,
4,Star Trek: The Motion Picture,1979,82258456,82258456,
5,Alien,1979,78944891,78944891,
6,Apocalypse Now,1979,78784010,78784010,
7,10,1979,74865517,74865517,
8,The Jerk,1979,73691419,73691419,
9,Moonraker,1979,70308099,70308099,
10,The Muppet Movie,1979,65200000,65200000,
11,The Electric Horseman,1979,61801971,61801971,
12,The China Syndrome,1979,51718367,51718367,
13,Meatballs,1979,43046003,43046003,
14,Escape from Alcatraz,1979,43000000,43000000,
15,The Main Event,1979,42800000,42800000,
16,Manhattan,1979,39946780,39946780,
17,All That Jazz,1979,37823676,37823676,
18,The Black Stallion,1979,37799643,37799643,
19,The Black Hole,1979,35841901,35841901,
20,Starting Over,1979,35649012,35649012,
21,And Justice for All,1979,33300000,33300000,
22,1941,1979,31755742,31755742,
23,The Champ,1979,30441738,30441738,
24,Being There,1979,30177511,30177511,
25,The Rose,1979,29174648,29174648,
26,Going in Style,1979,26869286,26869286,
27,North Dallas Forty,1979,26079312,26079312,
28,The Warriors,1979,22490039,22490039,
29,Norma Rae,1979,22228000,22228000,
30,Buck Rogers in the 25th Century,1979,21671241,21671241,
31,National Lampoon's Animal House 1979 Re-release,1979,21508877,21508877,
32,The Apple Dumpling Gang Rides Again,1979,20931111,20931111,
33,La Cage aux Folles,1979,20424259,20424259,
34,Dracula,1979,20158970,20158970,
35,When a Stranger Calls,1979,20149106,20149106,
36,"Same Time, Next Year",1979,19703082,19703082,
37,The Seduction of Joe Tynan,1979,19595168,19595168,
38,Life of Brian,1979,19398164,19398164,
39,One Hundred and One Dalmatians 1979 Re-release,1979,19000000,19000000,
40,Prophecy,1979,18389402,18389402,
41,Breaking Away,1979,16424918,16424918,
42,Hair,1979,15284643,15284643,
43,More American Graffiti,1979,15014674,15014674,
44,Roller Boogie,1979,13253715,13253715,
45,The Great Train Robbery,1979,13027857,13027857,
46,The Concorde... Airport '79,1979,13015688,13015688,
47,Phantasm,1979,11988469,11988469,
48,The Promise,1979,11606005,11606005,
49,The Legacy,1979,11364985,11364985,
50,Fiddler on the Roof 1979 Re-release,1979,10404330,10404330,
51,The Onion Field,1979,9890597,9890597,
52,The Frisco Kid,1979,9346177,9346177,
53,Meteor,1979,8400000,8400000,
54,The Fish That Saved Pittsburgh,1979,8281246,8281246,
55,Bloodline,1979,8218695,8218695,
56,The Prisoner of Zenda,1979,7650600,7650600,
57,Agatha,1979,7500000,7500000,
58,Americathon,1979,6171763,6171763,
59,Running,1979,6012556,6012556,
60,Cuba,1979,5610280,5610280,
61,Butch and Sundance: The Early Days,1979,5136913,5136913,
62,Players,1979,4896094,4896094,
63,The Great Santini,1979,4702575,4702575,
64,Yanks,1979,3931010,3931010,
65,Lost and Found,1979,3223197,3223197,
66,Hanover Street,1979,3000000,3000000,
67,Voices,1979,2631244,2631244,
68,Wanda Nevada,1979,2411145,2411145,
69,Sunburn,1979,2410776,2410776,
70,Rich Kids,1979,1856122,1856122,
71,Walk Proud,1979,1675040,1675040,
72,Last Embrace,1979,1537125,1537125,
73,Goldengirl,1979,1247376,1247376,
74,The Passage,1979,1101186,1101186,
75,Winter Kills,1979,1083799,1083799,
76,City on Fire,1979,784181,784181,
77,"A Man, a Woman and a Bank",1979,683353,683353,
78,Five Days from Home,1979,641768,641768,
79,Fast Charlie... the Moonbeam Rider,1979,444334,444334,
80,The Human Factor,1979,376050,376050,
81,Real Life,1979,364642,364642,
82,An Almost Perfect Affair,1979,85493,85493,
83,Nest of Vipers,1979,27182,27182,
84,The Milky Way,1979,2893,,2893
1,Star Wars: Episode V - The Empire Strikes Back,1980,209398025,209398025,
2,9 to 5,1980,103290500,103290500,
3,Stir Crazy,1980,101300000,101300000,
4,Airplane!,1980,83453539,83453539,
5,Any Which Way You Can,1980,70687344,70687344,
6,Private Benjamin,1980,69847348,69847348,
7,Coal Miner's Daughter,1980,67182787,67182787,
8,Smokey and the Bandit II,1980,66132626,66132626,
9,The Blue Lagoon,1980,58853106,58853106,
10,The Blues Brothers,1980,57230581,57229890,691
11,Ordinary People,1980,54766923,54766923,
12,Popeye,1980,49823037,49823037,
13,Urban Cowboy,1980,46918287,46918287,
14,The Shining,1980,44017374,44017374,
15,Seems Like Old Times,1980,43995918,43995918,
16,Cheech and Chong's Next Movie,1980,41675194,41675194,
17,Caddyshack,1980,39846344,39846344,
18,Friday the 13th,1980,39754601,39754601,
19,Brubaker,1980,37121708,37121708,
20,Little Darlings,1980,34326249,34326249,
21,Dressed to Kill,1980,31899000,31899000,
22,The Jazz Singer,1980,27118000,27118000,
23,Flash Gordon,1980,27107960,27107960,
24,Lady and the Tramp 1980 Re-release,1980,26114207,26114207,
25,The Elephant Man,1980,26010864,26010864,
26,Bronco Billy,1980,24265659,24265659,
27,Raging Bull,1980,23334953,23334953,
28,Xanadu,1980,22762571,22762571,
29,American Gigolo,1980,22743674,22743674,
30,My Bodyguard,1980,22482952,22482952,
31,The Fog,1980,21378361,21378361,
32,Fame,1980,21202829,21202829,
33,Tess,1980,20093330,20093330,
34,Altered States,1980,19853892,19853892,
35,Song of the South,1980,19800000,19800000,
36,Cruising,1980,19784223,19784223,
37,The Octagon,1980,18971000,18971000,
38,The Aristocats,1980,18000000,18000000,
39,Honeysuckle Rose,1980,17815212,17815212,
40,Herbie Goes Bananas,1980,17000000,17000000,
41,Rough Cut,1980,16656125,16656125,
42,The Final Countdown,1980,16647800,16647800,
43,The Hunter,1980,16274150,16274150,
44,Hero at Large,1980,15934737,15934737,
45,The Long Riders,1980,15795189,15795189,
46,The Island,1980,15716828,15716828,
47,Close Encounters of the Third Kind 1980 Special Edition,1980,15693175,15693175,
48,First Family,1980,15198912,15198912,
49,Prom Night,1980,14796236,14796236,
50,The Nude Bomb,1980,14662035,14662035,
51,"Oh, God! Book II",1980,14504277,14504277,
52,The Competition,1980,14287755,14287755,
53,Wholly Moses!,1980,14155617,14155617,
54,Mary Poppins 1980 Re-release,1980,14000000,14000000,
55,The Last Married Couple in America,1980,12835544,12835544,
56,Used Cars,1980,11715321,11715321,
57,The Last Flight of Noah's Ark,1980,11000000,11000000,
58,The Mirror Crack'd,1980,11000000,11000000,
59,The Fiendish Plot of Dr. Fu Manchu,1980,10697276,10697276,
60,Stardust Memories,1980,10389003,10389003,
61,The Hollywood Knights,1980,10000000,10000000,
62,Serial,1980,9870727,9870727,
63,Somewhere in Time,1980,9709597,9709597,
64,Saturn 3,1980,9000000,9000000,
65,Tribute,1980,9000000,9000000,
66,The Formula,1980,8894289,8894289,
67,Mad Max,1980,8750000,8750000,
68,Battle Creek Brawl,1980,8527743,8527743,
69,The Awakening,1980,8415112,8415112,
70,Fatso,1980,7653061,7653061,
71,How to Become a Detective,1980,7500000,7500000,
72,How to Beat the High Cost of Living,1980,7500000,7500000,
73,Foxes,1980,7470348,7470348,
74,The Big Red One,1980,7206220,7206220,
75,The Stunt Man,1980,7063886,7063886,
76,Where the Buffalo Roam,1980,6659377,6659377,
77,The Gong Show Movie,1980,6621520,6621520,
78,Motel Hell,1980,6342668,6342668,
79,Little Miss Marker,1980,6321392,6321392,
80,Oh Heavenly Dog,1980,6216067,6216067,
81,Divine Madness,1980,5318098,5318098,
82,In God We Trust (or Gimme That Prime Time Religion),1980,5215015,5215015,
83,He Knows You're Alone,1980,4875436,4875436,
84,Coast to Coast,1980,4495445,4495445,
85,Melvin and Howard,1980,4309490,4309490,
86,Roadie,1980,4226370,4226370,
87,Gloria,1980,4059673,4059673,
88,Jaws 2 1980 Re-release,1980,4028735,4028735,
89,Kagemusha,1980,4000000,4000000,
90,Resurrection,1980,3910019,3910019,
91,Hide in Plain Sight,1980,3806930,3806930,
92,Guyana: Cult of the Damned,1980,3798102,3798102,
93,When Time Ran Out...,1980,3763988,3763988,
94,Heaven's Gate,1980,3484331,3484331,
95,North Sea Hijack,1980,2993772,2993772,
96,Midnight Madness,1980,2900000,2900000,
97,Loving Couples,1980,2806659,2806659,
98,The Idolmaker,1980,2625716,2625716,
99,The Black Marble,1980,2500000,2500000,
100,Gilda Live,1980,2261507,2261507,
101,Windows,1980,2128395,2128395,
102,Just Tell Me What You Want,1980,2086905,2086905,
103,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,2013193,2013193,
104,Carny,1980,1817720,1817720,
105,When a Stranger Calls 1980 Re-release,1980,1262052,1262052,
106,Why Would I Lie?,1980,1175855,1175855,
107,Nijinsky,1980,1047454,1047454,
108,Heart Beat,1980,954046,954046,
109,One-Trick Pony,1980,843215,843215,
110,"Those Lips, Those Eyes",1980,804713,804713,
111,A Small Circle of Friends,1980,766760,766760,
112,Leo and Loree,1980,517988,517988,
113,Home Movies,1980,89134,89134,
114,Phobia,1980,59167,59167,
115,Stalker 2019 Re-release,1980,11757,,11757
116,Breaking Glass,1980,2471,2471,
1,Indiana Jones and the Raiders of the Lost Ark,1981,212222025,212222025,
2,On Golden Pond,1981,119285432,119285432,
3,Superman II,1981,108185706,108185706,
4,Arthur,1981,95461682,95461682,
5,Stripes,1981,85297000,85297000,
6,The Cannonball Run,1981,72179579,72179579,
7,Chariots of Fire,1981,58972904,58972904,
8,For Your Eyes Only,1981,54812802,54812802,
9,The Four Seasons,1981,50427646,50427646,
10,Time Bandits,1981,42365581,42365581,
11,Clash of the Titans,1981,41092328,41092328,
12,Absence of Malice,1981,40716963,40716963,
13,Reds,1981,40382788,40382659,129
14,The Fox and the Hound,1981,39900000,39900000,
15,Tarzan the Ape Man,1981,36565280,36565280,
16,Taps,1981,35856053,35856053,
17,Sharky's Machine,1981,35610100,35610100,
18,Excalibur,1981,34967437,34967437,
19,Endless Love,1981,32492674,31184024,1308650
20,History of the World: Part I,1981,31672907,31672907,
21,Bustin' Loose,1981,31261269,31261269,
22,The Great Muppet Caper,1981,31206251,31206251,
23,An American Werewolf in London,1981,30565292,30565292,
24,Neighbors,1981,29916207,29916207,
25,Fort Apache the Bronx,1981,29200000,29200000,
26,Cinderella 1981 Re-release,1981,28040000,28040000,
27,The French Lieutenant's Woman,1981,26890068,26890068,
28,Private Lessons,1981,26279000,26279000,
29,Modern Problems,1981,26154211,26154211,
30,Halloween II,1981,25533818,25533818,
31,Only When I Laugh,1981,25524778,25524778,
32,Escape from New York,1981,25244626,25244626,
33,Body Heat,1981,24058838,24058838,
34,Ghost Story,1981,23371905,23371905,
35,Friday the 13th Part 2,1981,21722776,21722776,
36,The Final Conflict,1981,20471382,20471382,
37,The Incredible Shrinking Woman,1981,20259961,20259961,
38,Mommie Dearest,1981,19032261,19032261,
39,Paternity,1981,18838812,18838812,
40,Under the Rainbow,1981,18826490,18826490,
41,The Howling,1981,17985893,17985893,
42,Eye of the Needle,1981,17583634,17583634,
43,Take This Job and Shove It,1981,17569027,17569027,
44,Outland,1981,17374595,17374595,
45,The Devil and Max Devlin,1981,16000000,16000000,
46,Caveman,1981,15965924,15965924,
47,Continental Divide,1981,15578237,15578237,
48,The Night the Lights Went Out in Georgia,1981,14923752,14923752,
49,Ragtime,1981,14920781,14920781,
50,Nighthawks,1981,14905359,14905359,
51,S.O.B.,1981,14867086,14867086,
52,Rich and Famous,1981,14492125,14492125,
53,Scanners,1981,14225876,14225876,
54,Dragonslayer,1981,14110013,14110013,
55,True Confessions,1981,12850276,12850276,
56,Atlantic City,1981,12729675,12729675,
57,The Legend of the Lone Ranger,1981,12617845,12617845,
58,First Monday in October,1981,12480249,12480249,
59,The Postman Always Rings Twice,1981,12383416,12376625,6791
60,Blow Out,1981,12000000,12000000,
61,Back Roads,1981,11809387,11809387,
62,Thief,1981,11492915,11492915,
63,Victory,1981,10853418,10853418,
64,Rollover,1981,10851261,10851261,
65,Wolfen,1981,10626725,10626725,
66,Carbon Copy,1981,9566593,9566593,
67,Pennies from Heaven,1981,9171289,9171289,
68,Deadly Blessing,1981,8279042,8279042,
69,Whose Life Is It Anyway?,1981,8206145,8206145,
70,Prince of the City,1981,8124257,8124257,
71,The Funhouse,1981,7886857,7886857,
72,Buddy Buddy,1981,7258543,7258543,
73,La Cage aux Folles II,1981,6950125,6950125,
74,...All the Marbles,1981,6468195,6468195,
75,Eyewitness,1981,6400000,6400000,
76,Gallipoli,1981,5732587,5732587,
77,My Bloody Valentine,1981,5672031,5672031,
78,Going Ape!,1981,5504218,5504218,
79,The Dogs of War,1981,5484132,5484132,
80,Student Bodies,1981,5165432,5165432,
81,The Watcher in the Woods,1981,5000000,5000000,
82,All Night Long,1981,4454295,4454295,
83,The Pursuit of D.B. Cooper,1981,3702028,3702028,
84,Zoot Suit,1981,3256082,3256082,
85,The Fan,1981,3082096,3082096,
86,The Last Metro,1981,3007436,3007436,
87,Gas,1981,2869425,2869425,
88,Modern Romance,1981,2863642,2863642,
89,The Hand,1981,2447576,2447576,
90,Heartbeeps,1981,2154696,2154696,
91,This Is Elvis,1981,2028612,2028612,
92,Sphinx,1981,2022771,2022771,
93,Honky Tonk Freeway,1981,2004742,2004742,
94,Raggedy Man,1981,1976198,1976198,
95,King of the Mountain,1981,1791147,1791147,
96,Cutter's Way,1981,1729274,1729274,
97,Silence of the North,1981,1622898,1622898,
98,From Mao to Mozart: Isaac Stern in China,1981,1205934,1205934,
99,Night School,1981,1169875,1169875,
100,Eyes of a Stranger,1981,1118634,1118634,
101,Herbie Goes Bananas 1981 Re-release,1981,1000000,1000000,
102,Herbie Goes to Monte Carlo 1981 Re-release,1981,1000000,1000000,
103,Sunday Lovers,1981,621931,621931,
104,Beyond the Reef,1981,549931,547525,2406
105,Cattle Annie and Little Britches,1981,534816,534816,
106,Hard Country,1981,534653,534653,
107,Man of Iron,1981,492035,492035,
108,Kelly,1981,469777,469777,
109,Freaky Friday 1981 Re-release,1981,300000,300000,
110,The Sea Wolves,1981,220181,220181,
111,Second-Hand Hearts,1981,19450,19450,
112,Glen or Glenda 1981 Re-release,1981,10158,10158,
113,That Obscure Object of Desire,1981,809,,809
114,Dissolute Wife,1981,785,,785
1,E.T. the Extra-Terrestrial,1982,359197037,359197037,
2,Tootsie,1982,177200000,177200000,
3,An Officer and a Gentleman,1982,129795554,129795554,
4,Rocky III,1982,124146897,124146897,
5,Porky's,1982,105492483,105492483,
6,Star Trek II: The Wrath of Khan,1982,78912963,78912963,
7,48 Hrs.,1982,78868508,78868508,
8,Poltergeist,1982,76606280,76606280,
9,The Best Little Whorehouse in Texas,1982,69701637,69701637,
10,Annie,1982,57059003,57059003,
11,The Verdict,1982,53977250,53977250,
12,Gandhi,1982,52767889,52767889,
13,First Blood,1982,47212904,47212904,
14,The Toy,1982,47118057,47118057,
15,Firefox,1982,46708276,46708276,
16,The Dark Crystal,1982,40577001,40577001,
17,Conan the Barbarian,1982,39565475,39565475,
18,The Sword and the Sorcerer,1982,39103425,39103425,
19,Best Friends,1982,36821203,36821203,
20,Richard Pryor: Live on the Sunset Strip,1982,36299720,36299720,
21,Friday the 13th Part III,1982,34581519,34581519,
22,Tron,1982,33000000,33000000,
23,Young Doctors in Love,1982,30688860,30688860,
24,Sophie's Choice,1982,30036166,30036000,166
25,The World According to Garp,1982,29712172,29712172,
26,Victor/Victoria,1982,28215453,28215453,
27,Blade Runner,1982,27580111,27580111,
28,Airplane II: The Sequel,1982,27150534,27150534,
29,Fast Times at Ridgemont High,1982,27092880,27092880,
30,Some Kind of Hero,1982,23671186,23671186,
31,The Road Warrior,1982,23667907,23667907,
32,Bambi 1982 Re-release,1982,23000000,23000000,
33,Pink Floyd: The Wall,1982,22244207,22244207,
34,Indiana Jones and the Raiders of the Lost Ark 1982 Re-release,1982,21437879,21437879,
35,Things Are Tough All Over,1982,21134374,21134374,
36,Night Shift,1982,21095638,21095638,
37,Creepshow,1982,21028755,21028755,
38,Quest for Fire,1982,20959585,20959585,
39,The Man from Snowy River,1982,20659423,20659423,
40,Six Pack,1982,20225989,20225989,
41,My Favorite Year,1982,20123620,20123620,
42,The Thing,1982,19629760,19629760,
43,Deathtrap,1982,19282134,19282134,
44,Dead Men Don't Wear Plaid,1982,18196170,18196170,
45,Peter Pan 1982 Re-release,1982,17200000,17200000,
46,Zapped!,1982,16897768,16897768,
47,They Call Me Bruce,1982,16894678,16894678,
48,Death Wish II,1982,16100000,16100000,
49,Kiss Me Goodbye,1982,15782759,15782759,
50,Star Wars: Episode IV - A New Hope 1982 Re-release,1982,15476785,15476785,
51,Grease 2,1982,15171476,15171476,
52,The Secret of NIMH,1982,14665733,14665733,
53,Halloween III: Season of the Witch,1982,14400000,14400000,
54,Diner,1982,14099953,14099953,
55,The Beastmaster,1982,14056528,14056528,
56,Missing,1982,14000000,14000000,
57,Star Wars: Episode V - The Empire Strikes Back 1982 Re-release,1982,13276241,13276241,
58,Visiting Hours,1982,13258670,13258670,
59,Vice Squad,1982,13253583,13253583,
60,Author! Author!,1982,13111101,13111101,
61,Amityville II: The Possession,1982,12534817,12534817,
62,Monsignor,1982,12408066,12408066,
63,Making Love,1982,11897978,11897978,
64,The Seduction,1982,11378339,11378339,
65,The Boat,1982,10915250,10915250,
66,Silent Rage,1982,10490791,10490791,
67,Savannah Smiles,1982,10413170,10413170,
68,Class Reunion,1982,10054150,10054150,
69,Hanky Panky,1982,9823934,9823934,
70,Shoot the Moon,1982,9217530,9217530,
71,A Midsummer Night's Sex Comedy,1982,9077269,9077269,
72,Trail of the Pink Panther,1982,9056073,9056073,
73,If You Could See What I Hear,1982,8693512,8693512,
74,Night Crossing,1982,8000000,8000000,
75,The Pirate Movie,1982,7983086,7983086,
76,The Beast Within,1982,7742572,7742572,
77,Tex,1982,7400000,7400000,
78,The Missionary,1982,7241180,7241180,
79,Cat People,1982,7000000,7000000,
80,I Ought to Be in Pictures,1982,6968359,6968359,
81,The Amateur,1982,6892098,6892098,
82,Six Weeks,1982,6668025,6668025,
83,Forced Vengeance,1982,6660333,6660333,
84,The Last Unicorn,1982,6455330,6455330,
85,The Soldier,1982,6328816,6328816,
86,The Border,1982,6118683,6118683,
87,Evil Under the Sun,1982,6110000,6110000,
88,Partners,1982,6062898,6062898,
89,Still of the Night,1982,5979947,5979947,
90,The Last American Virgin,1982,5829781,5829781,
91,Megaforce,1982,5675599,5675599,
92,Personal Best,1982,5672311,5672311,
93,Paradise,1982,5588800,5588800,
94,Cannery Row,1982,5301539,5301539,
95,Venom,1982,5229643,5229643,
96,Inchon,1982,5200986,5200986,
97,Heidi's Song,1982,5124391,5124391,
98,Tempest,1982,5005245,5005245,
99,Summer Lovers,1982,4968000,4968000,
100,Honkytonk Man,1982,4484991,4484991,
101,Jekyll and Hyde... Together Again,1982,3792188,3792188,
102,Wrong Is Right,1982,3583513,3583513,
103,Fighting Back,1982,3355948,3355948,
104,Penitentiary II,1982,3178542,3178542,
105,The Challenge,1982,2977706,2977706,
106,Homework,1982,2914328,2914328,
107,Jinxed!,1982,2869638,2869638,
108,It Came from Hollywood,1982,2573342,2573342,
109,A Stranger Is Watching,1982,2519559,2519559,
110,A Little Sex,1982,2370376,2370376,
111,"Yes, Giorgio",1982,2279543,2279543,
112,Barbarosa,1982,1736123,1736123,
113,"I, the Jury",1982,1515578,1515578,
114,Endangered Species,1982,1474249,1474249,
115,The Sender,1982,1054328,1054328,
116,Lookin' to Get Out,1982,946461,946461,
117,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982,840958,840958,
118,The House Where Evil Dwells,1982,667863,667863,
119,One from the Heart,1982,636796,636796,
120,The Weavers: Wasn't That a Time,1982,524203,524203,
121,Monty Python Live at the Hollywood Bowl,1982,327958,327958,
122,I'm Dancing as Fast as I Can,1982,291390,291390,
123,Split Image,1982,263635,263635,
124,Five Days One Summer,1982,199078,199078,
125,The Escape Artist,1982,143369,143369,
126,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,78350,78350,
127,Movie Madness,1982,63405,63405,
128,White Dog,1982,46509,46509,
129,Hammett,1982,42914,42914,
130,"Ladies and Gentlemen, the Fabulous Stains",1982,25728,25728,
131,Love & Money,1982,14009,14009,
132,Parasite,1982,2270,,2270
1,Star Wars: Episode VI - Return of the Jedi,1983,252583617,252583617,
2,Terms of Endearment,1983,108423489,108423489,
3,Flashdance,1983,92921203,92921203,
4,Trading Places,1983,90404800,90404800,
5,WarGames,1983,79567667,79567667,
6,Octopussy,1983,67917094,67893619,23475
7,Sudden Impact,1983,67642693,67642693,
8,Staying Alive,1983,64892670,64892670,
9,Mr. Mom,1983,64783827,64783827,
10,Risky Business,1983,63541777,63541777,
11,National Lampoon's Vacation,1983,61399552,61399552,
12,Superman III,1983,59950623,59950623,
13,The Big Chill,1983,56342711,56342711,
14,Never Say Never Again,1983,55432841,55432841,
15,Jaws 3-D,1983,45517055,45517055,
16,Scarface,1983,44668798,44668798,
17,Blue Thunder,1983,42313354,42313354,
18,Yentl,1983,40218899,40218899,
19,Silkwood,1983,35615609,35615609,
20,Psycho II,1983,34725000,34725000,
21,Porky's II: The Next Day,1983,33759266,33759266,
22,Uncommon Valor,1983,30503151,30503151,
23,Snow White and the Seven Dwarfs 1983 Re-release,1983,30100000,30100000,
24,Never Cry Wolf,1983,29600000,29600000,
25,Twilight Zone: The Movie,1983,29450919,29450919,
26,Easy Money,1983,29309766,29309766,
27,High Road to China,1983,28445927,28445927,
28,The Outsiders,1983,25697647,25697647,
29,Spring Break,1983,24071666,24071666,
30,Two of a Kind,1983,23646952,23646952,
31,My Tutor,1983,22587834,22587834,
32,Class,1983,21667789,21667789,
33,The Right Stuff,1983,21192102,21192102,
34,Cujo,1983,21156152,21156152,
35,Christine,1983,21017849,21017849,
36,The Rescuers 1983 Re-release,1983,21000000,21000000,
37,The Dead Zone,1983,20766616,20766616,
38,Breathless,1983,19910002,19910002,
39,A Christmas Story,1983,19294144,19294144,
40,Max Dugan Returns,1983,17613720,17613720,
41,Valley Girl,1983,17343596,17343596,
42,All the Right Moves,1983,17233166,17233166,
43,Krull,1983,16519460,16519460,
44,Spacehunter: Adventures in the Forbidden Zone,1983,16478265,16478265,
45,Richard Pryor... Here and Now,1983,16156776,16156776,
46,D.C. Cab,1983,16134627,16134627,
47,Gorky Park,1983,15856028,15856028,
48,Still Smokin,1983,15543710,15543710,
49,The Meaning of Life,1983,14929552,14929552,
50,Educating Rita,1983,14648076,14648076,
51,Private School,1983,14049540,14049540,
52,The Survivors,1983,14000000,14000000,
53,The Entity,1983,13277558,13277558,
54,Revenge of the Ninja,1983,13168027,13168027,
55,To Be or Not to Be,1983,13030214,13030214,
56,Stroker Ace,1983,13000000,13000000,
57,Lone Wolf McQuade,1983,12232628,12232628,
58,The Black Stallion Returns,1983,12049108,12049108,
59,The Sword in the Stone,1983,12000000,12000000,
60,Deathstalker,1983,11919250,11919250,
61,Zelig,1983,11798616,11798616,
62,The Lords of Discipline,1983,11787127,11787127,
63,Indiana Jones and the Raiders of the Lost Ark 1983 Re-release,1983,11374454,11374454,
64,The Smurfs and the Magic Flute,1983,11234220,11234220,
65,The Man Who Loved Women,1983,10964231,10964231,
66,Hercules,1983,10676194,10676194,
67,The House on Sorority Row,1983,10604986,10604986,
68,Doctor Detroit,1983,10375893,10375893,
69,Deal of the Century,1983,10369581,10369581,
70,The Man with Two Brains,1983,10353438,10353438,
71,The Year of Living Dangerously,1983,10278575,10278575,
72,Brainstorm,1983,10219460,10219460,
73,Lovesick,1983,10171304,10171304,
74,Without a Trace,1983,9632062,9632062,
75,Bad Boys,1983,9190819,9190819,
76,Rear Window 1983 Re-release,1983,9084873,9084420,453
77,Strange Brew,1983,8571374,8571374,
78,Tender Mercies,1983,8443124,8443124,
