"tconst","title","release_year","release_date","budget","worldwide_box_office","domestic_box_office","foreign_box_office","imdb_raiting","numvotes","genre"
tt2294449,"22 Jump Street",2014,2014-06-05,"50000000",331333888,191719344,139614544,7.00,375305,Action
,"22nd Annual International Tournée of Animation",1990,,,768304.0,768304.0,,,,
tt0307901,"25th Hour",2002,2002-12-16,"15000000",23928504,13084595,10843908,7.60,178738,Drama
tt0988595,"27 Dresses",2008,2008-01-10,"30000000",162655344,76808656,85846696,6.10,164676,Comedy
tt0191754,"28 Days",2000,2000-04-06,"43000000",62198944,37170488,25028456,6.10,50185,Comedy
tt0289043,"28 Days Later...",2002,2002-10-31,"5000000",82719888,45064916,37654968,7.50,411196,Drama
tt0463854,"28 Weeks Later",2007,2007-04-26,"15000000",65048680,28638916,36409760,6.90,275677,Action
tt0101252,"29th Street",1991,1991-11-01,"0",2120564.0,2120564.0,,7.20,2935,Comedy
tt2172934,"3 Days to Kill",2014,2014-02-14,"28000000",53260232,30698000,22562232,6.20,93941,Action
tt1187043,"3 Idiots",2009,2009-12-23,"9000000",60262836,6532874.0,53729960,8.40,395684,Comedy
tt0103596,"3 Ninjas",1992,1992-08-07,"0",29000300,29000300,,5.30,21854,Action
tt0109015,"3 Ninjas Kick Back",1994,1994-05-06,"0",11798854,11798854,,4.50,9383,Action
tt0199290,"3 Strikes",2000,2000-03-01,"6000000",9832166.0,9832166.0,,4.60,3502,Comedy
tt0389722,"30 Days of Night",2007,2007-10-17,"30000000",75513168,39569000,35944168,6.60,176654,Action
tt1622547,"30 Minutes or Less",2011,2011-08-11,"28000000",40662632,37053924,3608708.0,6.10,101032,Action
,"300",2007,,,456068192,210614944,245453248,,,
tt0233142,"3000 Miles to Graceland",2001,2001-02-23,"62000000",18720176,15749959,2970216.0,5.90,46912,Action
tt1253863,"300: Rise of an Empire",2014,2014-03-05,"110000000",337580064,106580048,231000000,6.20,300652,Action
,"35 Up",1992,,,922872.0,922872.0,,,,
tt0381849,"3:10 to Yuma",2007,2007-09-06,"55000000",70016224,53606916,16409304,7.70,310626,Action
tt0243736,"40 Days and 40 Nights",2002,2002-03-01,"17000000",95146280,37950824,57195460,5.60,73754,Comedy
tt0453562,"42",2013,2013-04-12,"40000000",97470704,95020216,2450488.0,7.50,95381,Biography
tt2932536,"47 Meters Down",2017,2017-06-15,"5500000",62187528,44307192,17880338,5.60,55408,Adventure
tt7329656,"47 Meters Down: Uncaged",2019,,,47582564,22260900,25321664,5.00,26512,Adventure
tt1335975,"47 Ronin",2013,2013-12-06,"175000000",151783840,38362476,113421360,6.20,160138,Action
tt0083511,"48 Hrs.",1982,1982-12-07,"12000000",78868512,78868512,,6.90,78193,Action
tt0343660,"50 First Dates",2004,2004-02-13,"75000000",198413424,120908072,77505352,6.80,353873,Comedy
tt1306980,"50/50",2011,2011-09-30,"8000000",41097852,35014192,6083661.0,7.60,329975,Comedy
tt1022603,"500 Days of Summer",2009,2009-07-17,"7500000",60722736,32391374,28331360,7.70,511710,Comedy
tt0090567,"52 Pick-Up",1986,1986-11-07,"0",5186646.0,5186646.0,,6.40,6209,Crime
tt0120577,"54",1998,1998-08-28,"13000000",16757163,16757163,,5.80,33337,Drama
tt0461642,"7 Dwarves: The Forest Is Not Enough",2006,2006-10-25,"0",32863752,,32863752,4.10,3809,Comedy
tt1587729,"71: Into the Fire",2010,2010-06-16,"10400000",20967660,176638.0,20791022,7.30,5547,Action
tt0118541,"8 Heads in a Duffel Bag",1997,1997-04-18,"0",3602884.0,3602884.0,,5.40,10565,Adventure
tt0298203,"8 Mile",2002,2002-11-08,"41000000",242875072,116750904,126124176,7.10,287202,Drama
tt0090568,"8 Million Ways to Die",1986,1986-04-25,"18000000",1305114.0,1305114.0,,5.70,5310,Action
