budget,imdb_id,original_language,title,revenue,status
0,tt0005960,en,Regeneration,0,Released
0,tt0006032,en,Shanghaied,0,Released
0,tt0006145,en,That Little Band Of Gold,0,Released
0,tt0006177,en,The Tramp,0,Released
0,tt0006206,fr,Les vampires,0,Released
200000,tt0006333,en,"20,000 Leagues Under the Sea",8000000,Released
0,tt0006414,en,Behind the Screen,0,Released
0,tt0006517,en,Civilization,0,Released
0,tt0006548,en,The Count,0,Released
0,tt0006589,en,The Devil's Needle,0,Released
0,tt0006668,en,Fatty and Mabel Adrift,0,Released
0,tt0006684,en,The Fireman,0,Released
0,tt0006689,en,The Floorwalker,0,Released
0,tt0006731,en,Going Straight,0,Released
0,tt0006745,en,Gretchen the Greenhorn,0,Released
0,tt0006753,en,The Half-Breed,0,Released
0,tt0006761,sv,The Sea Vultures,0,Released
0,tt0006780,en,Hell's Hinges,0,Released
0,tt0006809,en,His Picture in the Papers,0,Released
0,tt0006826,en,Hoodoo Ann,0,Released
8394751,tt0006864,en,Intolerance: Love's Struggle Throughout the Ages,0,Released
0,tt0006886,en,Judex,0,Released
0,tt0006895,en,King Lear,0,Released
0,tt0007047,en,The Matrimaniac,0,Released
0,tt0007108,en,The Mystery of the Leaping Fish,0,Released
0,tt0007145,en,One A.M.,0,Released
0,tt0007162,en,The Pawnshop,0,Released
0,tt0007183,ru,The Queen of Spades,0,Released
0,tt0007194,en,Police,0,Released
0,tt0007264,en,The Rink,0,Released
0,tt0007338,en,Sherlock Holmes,0,Released
0,tt0007361,en,Snow White,0,Released
0,tt0007476,en,Triple Trouble,0,Released
0,tt0007507,en,The Vagabond,0,Released
0,tt0007558,en,Where Are My Children?,0,Released
0,tt0007610,en,'49-'17,0,Released
0,tt0007613,en,The Adventurer,0,Released
0,tt0007819,en,Coney Island,0,Released
0,tt0007832,en,The Cure,0,Released
0,tt0007880,en,Easy Street,0,Released
0,tt0008133,en,The Immigrant,0,Released
0,tt0008329,en,Mothers of Men,0,Released
0,tt0008395,ru,Father Sergius,0,Released
0,tt0008443,en,The Poor Little Rich Girl,0,Released
0,tt0008523,en,The Rough House,0,Released
0,tt0008536,en,Satan Triumphant,0,Released
0,tt0008550,en,The Secret Game,0,Released
0,tt0008634,en,Straight Shooting,0,Released
0,tt0008663,sv,A Man There Was,0,Released
0,tt0008710,en,The Girl from the Marsh Croft,0,Released
0,tt0008775,en,Wild and Woolly,0,Released
0,tt0008827,en,Amarilly of Clothes-Line Alley,0,Released
0,tt0008874,en,The Bell Boy,0,Released
0,tt0008879,sv,The Outlaw and His Wife,0,Released
0,tt0008891,en,The Blue Bird,0,Released
0,tt0008950,de,Carmen,0,Released
0,tt0009018,xx,A Dog's Life,0,Released
0,tt0009062,de,The Merry Jail,0,Released
250000,tt0009369,en,Mickey,8000000,Released
0,tt0009440,en,Old Wives for New,0,Released
0,tt0009611,en,Shoulder Arms,0,Released
0,tt0009652,en,Stella Maris,0,Released
0,tt0009796,en,The Whispering Chorus,0,Released
0,tt0009878,de,Different from the Others,0,Released
0,tt0009893,de,The Oyster Princess,0,Released
0,tt0009899,fr,Back Stage,0,Released
0,tt0009932,en,"Billy Blazes, Esq.",0,Released
42,tt0009937,en,Blind Husbands,0,Released
0,tt0009968,en,Broken Blossoms,0,Released
0,tt0009976,en,The Busher,0,Released
0,tt0010040,en,Daddy-Long-Legs,0,Released
0,tt0010057,en,A Day's Pleasure,0,Released
0,tt0010060,en,The Delicious Little Devil,0,Released
0,tt0010071,en,Don't Change Your Husband,0,Released
0,tt0010146,en,From Hand to Mouth,0,Released
0,tt0010155,en,The Garage,0,Released
0,tt0010195,en,The Grim Game,0,Released
0,tt0010208,en,Harakiri,0,Released
0,tt0010247,sv,Sir Arne's Treasure,0,Released
0,tt0010267,en,The Hoodlum,0,Released
0,tt0010281,de,I Don't Want to Be a Man,0,Released
0,tt0010307,xx,J'accuse!,0,Released
18000,tt0010323,de,The Cabinet of Dr. Caligari,0,Released
0,tt0010418,en,Male and Female,0,Released
0,tt0010726,en,The Spiders - The Golden Sea,0,Released
0,tt0010747,en,Sunnyside,0,Released
0,tt0010806,en,True Heart Susie,0,Released
0,tt0010821,de,Eerie Tales,0,Released
0,tt0011000,da,Leaves from Satan's Book,0,Released
0,tt0011071,fr,Convict 13,0,Released
0,tt0011130,en,Dr. Jekyll and Mr. Hyde,0,Released
0,tt0011157,sv,Erotikon,0,Released
0,tt0011193,en,The Flapper,0,Released
0,tt0011237,de,The Golem: How He Came Into the World,0,Released
0,tt0011293,en,High and Dizzy,0,Released
0,tt0011358,en,Just Pals,0,Released
0,tt0011362,sv,Karin Daughter of Ingmar,0,Released
0,tt0011370,sv,The Monastery of Sendomir,0,Released
0,tt0011387,en,The Last of the Mohicans,0,Released
0,tt0011401,en,Life of the Party,0,Released
0,tt0011439,en,The Mark of Zorro,0,Released
0,tt0011508,en,Neighbors,0,Released
0,tt0011521,en,"Number, Please?",0,Released
0,tt0011541,en,One Week,0,Released
89000,tt0011565,en,The Penalty,0,Released
0,tt0011652,en,The Saphead,0,Released
0,tt0011656,en,The Scarecrow,0,Released
0,tt0011723,en,The Spiders - The Diamond Ship,0,Released
0,tt0011833,de,From Morn to Midnight,0,Released
0,tt0011841,en,Way Down East,0,Released
0,tt0011865,en,Why Change Your Wife?,0,Released
0,tt0011870,en,Within Our Gates,0,Released
0,tt0011904,en,The Ace of Hearts,0,Released
0,tt0011908,en,The Adventures of Tarzan,0,Released
0,tt0011909,en,The Affairs of Anatol,0,Released
0,tt0011960,de,The Wildcat,0,Released
0,tt0011979,en,The Blot,0,Released
0,tt0011984,en,The Boat,0,Released
0,tt0012027,en,Camille,0,Released
0,tt0012136,en,Enchantment,0,Released
0,tt0012190,en,The Four Horsemen of the Apocalypse,0,Released
0,tt0012224,en,The Goat,0,Released
0,tt0012253,fr,Hard Luck,0,Released
0,tt0012255,en,The Haunted House,0,Released
0,tt0012278,en,The High Sign,0,Released
0,tt0012281,de,Backstairs,0,Released
0,tt0012304,en,The Idle Class,0,Released
250000,tt0012349,en,The Kid,2500000,Released
0,tt0012364,sv,The Phantom Carriage,0,Released
0,tt0012408,en,The Love Light,0,Released
0,tt0012465,en,Miss Lulu Bett,0,Released
0,tt0012486,en,My Boy,0,Released
0,tt0012494,de,Destiny,0,Released
0,tt0012499,en,Never Weaken,0,Released
0,tt0012512,en,Now or Never,0,Released
0,tt0012532,en,Orphans of the Storm,0,Released
0,tt0012543,en,The Paleface,0,Released
0,tt0012570,en,The Play House,0,Released
0,tt0012645,de,Mad Love,0,Released
0,tt0012651,en,The Haunted Castle,0,Released
0,tt0012675,en,The Sheik,0,Released
1500000,tt0012752,en,The Three Musketeers,0,Released
0,tt0012763,en,Tol'able David,0,Released
0,tt0012881,en,The Adventures of Robinson Crusoe,0,Released
0,tt0012938,en,Beyond the Rocks,0,Released
0,tt0012945,en,The Blacksmith,0,Released
0,tt0012952,en,Blood and Sand,0,Released
0,tt0013025,en,Cops,0,Released
0,tt0013055,fr,Day Dreams,0,Released
0,tt0013059,da,Once Upon a Time,0,Released
0,tt0013075,en,Dr. Jack,0,Released
0,tt0013086,de,"Dr. Mabuse, the Gambler",0,Released
0,tt0013099,en,The Electric House,0,Released
0,tt0013134,en,Flesh and Blood,0,Released
1100000,tt0013140,en,Foolish Wives,400200,Released
0,tt0013158,en,The Frozen North,0,Released
0,tt0013201,en,Grandma's Boy,0,Released
0,tt0013257,sv,Häxan,0,Released
0,tt0013367,en,The Man from Beyond,0,Released
0,tt0013372,en,Manslaughter,0,Released
0,tt0013386,en,Merry-Go-Round,0,Released
0,tt0013422,fr,My Wife's Relations,0,Released
53000,tt0013427,en,Nanook of the North,0,Released
0,tt0013442,de,Nosferatu,0,Released
0,tt0013472,en,Our Gang,0,Released
0,tt0013496,de,Phantom,0,Released
0,tt0013501,en,Polikushka,0,Released
0,tt0013556,en,Robin Hood,0,Released
350000,tt0013571,en,Salomé,0,Released
0,tt0013579,de,Warning Shadows,0,Released
0,tt0013597,en,Sherlock Holmes,0,Released
0,tt0013626,en,The Smiling Madame Beudet,0,Released
0,tt0013662,en,Tess of the Storm Country,0,Released
0,tt0013674,en,The Three Must-Get-Theres,0,Rumored
0,tt0013688,en,The Toll of the Sea,0,Released
0,tt0013690,en,Tommy Tucker's Tooth,0,Released
0,tt0013741,de,The Loves of Pharaoh,0,Released
0,tt0013802,en,The Young Rajah,0,Released
0,tt0013823,en,Alice's Wonderland,0,Released
0,tt0013858,en,The Balloonatic,0,Released
0,tt0013992,xx,Glumov's Diary,0,Released
0,tt0014029,en,The Extra Girl,0,Released
0,tt0014109,sv,The Saga of Gosta Berling,0,Released
0,tt0014142,en,The Hunchback of Notre Dame,0,Released
0,tt0014218,en,The Love Nest,0,Released
0,tt0014341,en,Our Hospitality,0,Released
0,tt0014358,en,The Pilgrim,0,Released
0,tt0014406,fr,Return to Reason,0,Released
0,tt0014417,fr,La Roue,0,Released
0,tt0014429,en,Safety Last!,623,Released
0,tt0014440,en,Scaramouche,0,Released
0,tt0014446,de,The Treasure,0,Released
0,tt0014497,en,Souls for Sale,0,Released
0,tt0014524,en,New Year's Eve,0,Released
0,tt0014532,en,The Ten Commandments,0,Released
0,tt0014538,en,Three Ages,0,Released
0,tt0014586,de,Waxworks,0,Released
0,tt0014605,en,The White Sister,0,Released
0,tt0014611,en,Why Worry?,0,Released
0,tt0014624,en,A Woman of Paris,0,Released
0,tt0014646,ru,Aelita: Queen of Mars,0,Released
0,tt0014672,en,America,0,Released
0,tt0014702,en,Beau Brummel,0,Released
0,tt0014760,en,Captain January,0,Released
0,tt0014770,en,The Chechahcos,0,Released
0,tt0014872,fr,Entr'acte,0,Released
0,tt0014900,de,The Finances of the Grand Duke,0,Released
0,tt0014945,en,Girl Shy,0,Released
172000,tt0014972,en,He Who Gets Slapped,0,Released
0,tt0015002,en,Hot Water,0,Released
0,tt0015014,en,L'Inhumaine,0,Released
0,tt0015016,en,The Iron Horse,0,Released
0,tt0015036,en,Kean,0,Released
0,tt0015039,ru,Kino Eye,0,Released
0,tt0015064,de,The Last Laugh,0,Released
212000,tt0015119,en,The Marriage Circle,0,Released
0,tt0015136,de,Michael,0,Released
0,tt0015152,fi,The Gypsy Charmer,0,Released
0,tt0015163,en,The Navigator,0,Released
0,tt0015167,ru,The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,0,Released
0,tt0015174,de,Die Nibelungen: Kriemhild's Revenge,0,Released
0,tt0015175,de,Die Nibelungen: Siegfried,0,Released
0,tt0015202,de,The Hands of Orlac,0,Released
0,tt0015224,en,Peter Pan,0,Released
0,tt0015268,en,The Red Lily,0,Released
0,tt0015310,en,The Sea Hawk,0,Released
0,tt0015324,en,"Sherlock, Jr.",0,Released
0,tt0015361,ru,Strike,0,Released
0,tt0015384,de,Symphonie diagonale,0,Released
1135654,tt0015400,en,The Thief of Bagdad,1213880,Released
0,tt0015493,en,The White Shadow,0,Released
0,tt0015498,en,Wild Oranges,0,Released
0,tt0015532,de,The Adventures of Prince Achmed,0,Released
0,tt0015589,en,The Awful Truth,0,Released
245000,tt0015624,en,The Big Parade,22000000,Released
0,tt0015634,en,Body and Soul,0,Released
0,tt0015648,ru,Battleship Potemkin,45100,Released
0,tt0015684,en,The Circle,0,Released
0,tt0015687,en,Clash of the Wolves,0,Released
0,tt0015693,en,Cobra,0,Released
0,tt0015758,en,Don Q Son of Zorro,0,Released
0,tt0015768,da,Master of the House,0,Released
0,tt0015801,fr,The Late Mathias Pascal,0,Released
0,tt0015841,en,The Freshman,0,Released
0,tt0015842,de,The Joyless Street,0,Released
0,tt0015863,en,Go West,0,Released
923000,tt0015864,en,The Gold Rush,2500000,Released
0,tt0015873,en,Grass: A Nation's Battle for Life,0,Released
546883,tt0015881,en,Greed,0,Released
0,tt0015977,ru,Kino-pravda no. 21 - Lenin Kino-Pravda. A Film Poem about Lenin,0,Released
320000,tt0016004,en,Lady Windermere's Fan,0,Released
0,tt0016013,en,Lazybones,0,Released
0,tt0016022,en,Lightnin',0,Released
0,tt0016029,en,The Little Colonel,0,Released
0,tt0016039,en,The Lost World,0,Released
592,tt0016104,en,The Merry Widow,1,Released
0,tt0016123,en,The Monster,0,Released
0,tt0016129,en,The Movies,0,Released
0,tt0016201,en,Parisian Love,0,Released
0,tt0016220,en,The Phantom of the Opera,0,Released
0,tt0016226,en,The Plastic Age,0,Released
0,tt0016230,de,The Pleasure Garden,0,Released
0,tt0016232,fr,Poil de Carotte,0,Released
0,tt0016258,en,The Rag Man,0,Released
0,tt0016276,en,The Red Kimona,0,Released
0,tt0016310,en,The Salvation Hunters,0,Released
0,tt0016332,en,Seven Chances,0,Released
0,tt0016392,en,The City Without Jews,0,Released
0,tt0016394,en,Stage Struck,0,Released
103000,tt0016473,en,The Unholy Three,704000,Released
0,tt0016480,en,The Vanishing American,0,Released
0,tt0016481,de,Variety,0,Released
0,tt0016493,fr,The Imaginary Voyage,0,Released
0,tt0016544,en,The Wizard of Oz,0,Released
0,tt0016627,en,Bardelys the Magnificent,0,Released
0,tt0016629,en,The Bat,0,Released
0,tt0016630,en,Battling Butler,0,Released
0,tt0016634,en,Beau Geste,0,Released
0,tt0016640,en,The Bells,0,Released
3900000,tt0016641,en,Ben-Hur: A Tale of the Christ,9000000,Released
0,tt0016654,en,The Black Pirate,0,Released
0,tt0016655,en,The Blackbird,0,Released
0,tt0016669,en,La Bohème,0,Released
0,tt0016672,en,The Boob,0,Released
0,tt0016690,en,Brown of Harvard,0,Released
0,tt0016691,en,The Bridal Party in Hardanger,0,Released
